Time,Time(ms),North China.Guyuan/ Bus 4 J220/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Bus 5 J220/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 500kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 220kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 35kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 500kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 220kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 35kV Side/ Positive -Sequence Voltage Magnitude
2023/09/17_02:12:02.180,180,226.791,226.778,524.284,226.778,35.8899,523.796,226.663,35.8707
2023/09/17_02:12:02.200,200,226.798,226.784,524.3,226.784,35.891,523.827,226.677,35.8728
2023/09/17_02:12:02.220,220,226.811,226.804,524.33,226.798,35.8931,523.857,226.69,35.8739
2023/09/17_02:12:02.240,240,226.804,226.791,524.315,226.798,35.8921,523.842,226.684,35.8728
2023/09/17_02:12:02.260,260,226.791,226.784,524.284,226.784,35.891,523.827,226.67,35.8718
2023/09/17_02:12:02.280,280,226.804,226.798,524.3,226.791,35.8931,523.842,226.677,35.875
2023/09/17_02:12:02.300,300,226.811,226.798,524.315,226.798,35.8931,523.842,226.684,35.875
2023/09/17_02:12:02.320,320,226.804,226.798,524.315,226.798,35.8942,523.842,226.684,35.875
2023/09/17_02:12:02.340,340,226.798,226.784,524.3,226.784,35.8921,523.827,226.67,35.8739
2023/09/17_02:12:02.360,360,226.784,226.771,524.254,226.778,35.891,523.796,226.663,35.8728
2023/09/17_02:12:02.380,380,226.791,226.771,524.254,226.784,35.8921,523.781,226.663,35.8739
2023/09/17_02:12:02.400,400,226.804,226.784,524.3,226.791,35.8931,523.811,226.677,35.875
2023/09/17_02:12:02.420,420,226.804,226.791,524.3,226.798,35.8953,523.827,226.677,35.875
2023/09/17_02:12:02.440,440,226.791,226.784,524.269,226.784,35.8931,523.781,226.663,35.8728
2023/09/17_02:12:02.460,460,226.784,226.784,524.269,226.778,35.8921,523.781,226.663,35.8728
2023/09/17_02:12:02.480,480,226.764,226.757,524.254,226.751,35.8889,523.766,226.643,35.8707
2023/09/17_02:12:02.500,500,226.657,226.65,524.178,226.643,35.8675,523.689,226.536,35.8472
2023/09/17_02:12:02.520,520,226.677,226.657,524.178,226.657,35.8707,523.689,226.549,35.8493
2023/09/17_02:12:02.540,540,226.731,226.724,524.147,226.717,35.8846,523.674,226.61,35.8664
2023/09/17_02:12:02.560,560,226.724,226.717,524.117,226.71,35.8824,523.644,226.603,35.8632
2023/09/17_02:12:02.580,580,226.744,226.731,524.162,226.731,35.8846,523.689,226.616,35.8654
2023/09/17_02:12:02.600,600,226.737,226.731,524.162,226.731,35.8824,523.689,226.623,35.8643
2023/09/17_02:12:02.620,620,226.724,226.717,524.132,226.717,35.8814,523.659,226.61,35.8643
2023/09/17_02:12:02.640,640,226.724,226.71,524.117,226.717,35.8824,523.644,226.603,35.8643
2023/09/17_02:12:02.660,660,226.744,226.731,524.147,226.731,35.8857,523.674,226.616,35.8664
2023/09/17_02:12:02.680,680,226.757,226.737,524.178,226.737,35.8857,523.705,226.63,35.8675
2023/09/17_02:12:02.700,700,226.744,226.731,524.147,226.731,35.8835,523.674,226.616,35.8654
2023/09/17_02:12:02.720,720,226.717,226.71,524.101,226.71,35.8803,523.613,226.596,35.8632
2023/09/17_02:12:02.740,740,226.704,226.69,524.071,226.697,35.8782,523.583,226.583,35.8611
2023/09/17_02:12:02.760,760,226.717,226.704,524.101,226.71,35.8792,523.628,226.596,35.8621
2023/09/17_02:12:02.780,780,226.744,226.731,524.147,226.731,35.8835,523.659,226.623,35.8654
2023/09/17_02:12:02.800,800,226.751,226.744,524.178,226.737,35.8857,523.689,226.63,35.8664
2023/09/17_02:12:02.820,820,226.744,226.731,524.162,226.737,35.8857,523.689,226.623,35.8664
2023/09/17_02:12:02.840,840,226.744,226.731,524.162,226.731,35.8846,523.674,226.623,35.8664
